film_title,film_year,production_country,director,release_month,release_year,release_location,production_company,cast,imdb_id
Hedda Gabler,1920,Italy,"nm0952610, nm0665163",August,1920,Italy,,"nm0021935, nm0082101, nm0195176, nm0487727, nm0682530, nm0702893, nm0744105",tt0178567
Il quadro di Osvaldo Mars,1921,Italy,nm0109264,June,1921,Italy,Rodolfifilm,"nm0109266, nm0162321, nm0231876, nm0693529, nm0785378",tt0275610
Checco è sfortunato in amore,1913,Italy,,,1913,Italy,Società Italiana Cines,"nm1029576, nm0579618, nm1100228",tt0963282
Odette,1916,Italy,nm0209738,April,1916,Sweden,Caesar Film,"nm0078116, nm0207107, nm0070959, nm0070962, nm0109264, nm0211158, nm0749306",tt0189842
Ninì Verbena,1913,Italy,nm0624511,April,1913,Italy,Celio Film,"nm0078116, nm0315780, nm0172822, nm0137706",tt1064785
Il re dell'Atlantico,1914,Italy,nm0624511,October,1914,Italy,Milano Film,"nm0109266, nm0658055, nm0667546",tt1080980
Mia moglie si è fidanzata,1921,Italy,nm0952610,July,1921,Italy,Lombardo Film,"nm0350524, nm0743102, nm0718580, nm0650750, nm0156127",tt0463152
"Pathé's Weekly, No. 9",1913,USA,,February,1913,USA,Pathé Frères,"nm0146796, nm0613623, nm9166417",tt4539974
I carbonari,1912,Italy,nm0784988,April,1912,Italy,"Film d'Arte Italiana, Pathé Frères","nm0078116, nm0503227, nm1011921, nm0784988",tt0160112
Liebet das Leben,1924,Germany,,October,1924,Germany,Münchner Lichtspielkunst AG (Emelka),"nm0301146, nm0350600, nm0538729, nm2085889, nm0774114, nm1488840",tt0486850
Madame Flirt,1918,Italy,nm0624511,June,1918,Italy,Tiber-film,"nm0138479, nm0381428",tt0193308
Corte d'Assise,1931,Italy,nm0109264,January,1931,Italy,Società Italiana Cines,"nm0016290, nm0289772, nm0632426, nm0723242, nm0825923, nm0545653, nm0162321, nm0211282, nm0187642, nm0177815, nm0080615, nm0137213, nm0887830, nm0267249, nm0022833, nm0051737, nm0080672, nm1987436, nm0109266, nm1410217, nm1990820, nm1992113, nm1175201, nm0168059, nm1996333, nm1985886, nm1570380, nm1287181, nm0303416, nm1029576, nm0335694, nm1994905, nm1989427, nm1988922, nm0553335, nm0664518, nm0682595, nm0727397, nm0744408, nm0754637, nm0755351, nm0757369, nm1986524, nm1100228, nm1577493",tt0020790
Il medico dei bambini,1920,Italy,nm0142822,March,1920,Italy,Circe Film,"nm1522679, nm0142821, nm0142823, nm0762718",tt0929451
Unfug der Liebe,1928,Germany,nm0927468,January,1930,Portugal,Max Glass Film,"nm0040084, nm0082101, nm0274034, nm0286924, nm0414294, nm0797728, nm0872465",tt0227723
Giovanna d'Arco,1913,Italy,nm0215516,November,1913,Italy,Savoia Film,"nm0414294, nm0626131, nm1896575, nm1899346, nm1896373",tt0177807
Sansone,1923,Italy,nm1902024,May,1923,Italy,Caesar Film,"nm0208352, nm0274034, nm0312909, nm0682595, nm0762718, nm0769330",tt0456640
Fabiola,1918,Italy,nm0345500,January,1919,Spain,Palatino Film,"nm0762718, nm0144313, nm0144663, nm0277765, nm0557831, nm0637019, nm0667546, nm0688996, nm0762531, nm0822654, nm0864226",tt0171301
Per la felicità degli altri,1914,Italy,nm0624511,June,1914,Italy,Milano Film,"nm1298942, nm0381428, nm2709059, nm0785802",tt1063642
Frauenmoral,1923,"Germany, Netherlands",nm0294276,October,1923,Netherlands,"Nordisk Film, Theo Frenkel Film Cie., Turma Film","nm0257406, nm0538729, nm0543029, nm0547972, nm0547998, nm0688480, nm0386830, nm0362501, nm0018828, nm0458635, nm0435227",tt0014059
