imdb_id,name
nm7741207,Ger Wieberdink
nm0728960,Mario Riva
nm1065041,Romeo De Baggis
nm0124376,Manlio Busoni
nm2447058,Franco Piersanti
nm0049531,Ennio Balbo
nm0274986,Lida Ferro
nm0312975,Rino Genovese
nm0363450,Harry Harment
nm5403013,Erge Viadana
nm1550622,Irene Mattalia
nm1292464,Guido Graziosi
nm3938909,Lydia Fostini
nm0537818,Totò Majorana
nm1292225,Lia Formia
nm1298843,Valeria Creti
nm0702947,Nina Quartero
nm0891492,Elsa Vazzoler
nm0873731,Liana Trouche
nm1416118,Lola Laroche
nm0282632,Albert Florath
nm1291239,Alfredo Boccolini
nm2563397,Egidio Vecchioni
nm0798570,Aldo Silvani
nm0363545,Pat Harmon
nm0135421,Alberto Capozzi
nm1132786,Teresa Martini
nm0053569,Cesare Barbetti
nm1265164,Giulio Bagnini
nm0902760,Michael von Newlinsky
nm2498268,Petronilla Garis
nm0187633,William Creswick
nm0815092,Francesco Sormano
nm0266947,Edmea Fantoni
nm0409421,Franco Interlenghi
nm0719874,Marian Rentgen
nm0001352,Terence Hill
nm0681213,Giorgio Piamonti
nm0556146,Rina Mascetti
nm0547705,Marinita
nm1996333,Enrico De Martino
nm0398250,Olin Howland
nm0667612,Maria Antonietta Pavese
nm2350393,Diego Ghiglia
nm0187711,Laura Hope Crews
nm0611804,Jack Mulhall
nm1168360,Rosaria Wadesky
nm5891421,Laure Dietrich
nm0511188,Friedel Lind
nm0673740,Emilio Pericoli
nm5474336,Antonella Pandolfi
nm1270090,Alba Savelli
nm0264693,Suzanne Fabre
nm0211282,Camillo De Rossi
nm2498853,Teresa Calabria
nm5474273,Lill Cecioni
nm0800548,Giovanni Simonelli
nm0066941,Ernst Behmer
nm0000017,Marlene Dietrich
nm1943484,Claudia Di Lullo
nm0006475,Howling Wolf
nm0664132,Elli Parvo
nm0068320,Karina Bell
nm0472122,Otto Kronburger
nm0581024,Elsa Merlini
nm0312553,Enrico Gemelli
nm8348919,Valdi
nm0803398,Adriana Sivieri
nm0877813,Ray Turner
nm0686217,Nilla Pizzi
nm1508109,Gino Mercuriali
nm0054670,Carlotta Barilli
nm0491298,Mario Laurentino
nm1148942,Oreste Grandi
nm0576233,Illa Meery
nm0317209,Vivian Gibson
nm0100664,Berthe Bovy
nm1004245,Alessandro Dionisi-Vici
nm0387561,Halliwell Hobbes
nm0142823,Mario Casaleggio
nm1175201,Francesco Ciancamerla
nm0730165,Jason Robards Sr.
nm1714649,Francesco Balsamo
nm1295663,Umberto Zanuccoli
nm0561587,Max Maximilian
nm1513772,Fernanda D'Alteno
nm0355550,Ella Hall
nm0750294,Ossip Runitsch
nm0774114,Georg H. Schnell
nm0613867,Tiberio Murgia
nm0315586,Mario Gheduzzi
nm0001791,Robert Taylor
nm0744196,Gianni Rossi
nm0011063,Jimmie Adams
nm0832604,Natalie Storm
nm0519765,Theodor Loos
nm0116050,Mathilde Brundage
nm0857986,Robert Thiem
nm2309624,Pietro Pezzullo
nm1301556,Pietro Paoli
nm0685612,Silverio Pisu
nm0660035,Germana Paolieri
nm3925140,Phyllis Brown
nm1300274,Alice Kempen
nm0584786,Albert Michel
nm1268134,Sandro D'Attino
nm0719118,Tina Ceccaci Renaldi
nm0774702,Robert Scholz
nm0080672,Vittorio Bianchi
nm1291684,Gustavo Conforti
nm0883582,Xenia Valderi
nm1006836,Anna Maria Del Prà
nm1989293,Robbert Dijkgraaf
nm1253011,Fosco Risturi
nm0452404,Philip Kieffer
nm1031101,Lucia Mannucci
nm0302945,Mario Gallina
nm0872325,Louis Treumann
nm0903235,Eduard von Winterstein
nm1560231,Vera Dani
nm0855241,Euro Teodori
nm1111500,Marino Bulla
nm0697763,Albino Principe
nm0553894,Bruno Martino
nm0853730,Daniele Tedeschi
nm2145916,Pinuccia Galimberti
nm0551256,Vera Marshe
nm0526266,Elena Lunda
nm0591856,Annamaria Mion
nm0769273,Carmen Scarpitta
nm0301403,Corrado Gaipa
nm0216031,Rudolf Del Zopp
nm1883879,Gabriellino D'Annunzio
nm0727210,Walter Rilla
nm4723001,Liana De Picey
nm0726777,Alexandre Rignault
nm1014493,Alfredo Bracci
nm4702344,Carlo Cecchi
nm0824971,Ubaldo Stefani
nm0558886,Alexandre Mathillon
nm0748660,John Ruddock
nm0834496,Vladimir Strizhevsky
nm1893945,Camillo Talamo
nm0064899,Franco Becci
nm0685066,Amina Pirani Maggi
nm0076464,Nerio Bernardi
nm0307324,Edward Gargan
nm0699637,Valdemar Psilander
nm3028420,Nico Bellini
nm4723012,Ida Spicchiesi
nm0841270,Carla Sveva
nm1027834,Liliana Ardea
nm0233604,Sandro Dori
nm0650010,Orazio Orlando
nm0518359,Dillo Lombardi
nm0818908,Rosella Spinelli
nm5563156,Paula Rode
nm0604940,Paul Morgan
nm0885030,Hermann Vallentin
nm0726295,Virgilio Riento
nm4310978,Fiorangela Filli
nm2690136,Fleurette Du Lac
nm0957714,Pier Luigi Zollo
nm0710749,Attilio Rapisarda
nm0527135,Demesio Lusardi
nm0290546,Fulvia Franco
nm0539455,Marina Malfatti
nm0561285,Jacques Maury
nm1168952,Attilio Fernandez
nm1763326,Conrad Cappes
nm0046774,Margherita Bagni
nm1542950,Cappello Stani
nm2561799,Jeanne Nancy
nm0540774,Fay Wall
nm0599354,Conchita Montenegro
nm0665109,Piero Pastore
nm0274659,Marco Ferreri
nm0867796,Michael Tor
nm0097962,Alessandro Bosio
nm0530088,Encarnación López
nm1302718,Tilde Teldi
nm0267838,Alberto Farnese
nm1029576,Giuseppe Gambardella
nm0315985,Gianfranco Giachetti
nm0529227,Lya Lys
nm0315998,Gabriella Giacobbe
nm0080798,Bruno Biasibetti
nm0865357,Paolo Todisco
nm0694550,Milla Sannoner
