film_title,imdb_id,film_year,production_country,director,release_month,release_year,release_location,production_locality,production_company,cast
"Sophy of Kravonia; or, The Virgin of Paris",tt0197907,1920,USA,nm0284807,November,1920,USA,,Harry Raver Inc.,"nm0439188, nm0330659, nm0039105, nm0834386, nm0665728, nm0607880, nm0679801, nm0854683, nm0187633, nm0219905"
Zoya,tt1064830,1920,Italy,nm0030748,March,1920,Italy,Rome,Tiber-film,"nm0137706, nm0144302, nm0352120, nm0439188, nm0663286"
Il Fauno,tt0336428,1917,Italy,nm0546917,June,1917,Italy,Turin,Società Anonima Ambrosio,"nm0546917, nm0603279, nm0538729, nm0187642, nm0082101, nm0890415, nm0682595, nm1266871"
Il focolare spento,tt0173855,1925,Italy,nm0312866,March,1925,Italy,Rome,Genina Film,"nm0109469, nm1298749, nm0448656, nm0094529, nm0853724, nm0209740, nm0340553, nm1146178, nm1298244"
L'ultimo dei Borgia,tt1081019,1920,Italy,nm1282639,April,1920,Italy,Turin,Argo Film,"nm2507623, nm0109263, nm0109266, nm2628569, nm1133318, nm0866508, nm1295234"
La terra promessa,tt0210351,1913,Italy,nm0624511,June,1913,Italy,Rome,Celio Film,"nm0078116, nm0172822, nm0315780"
Consuelita,tt0166542,1925,Italy,nm0730743,August,1925,Italy,Rome,Caesar Film,"nm0078116, nm0137706, nm0144302, nm1292464"
Il principe dell'impossibile,tt0195186,1919,Italy,nm0312866,March,1919,Italy,Turin,Itala Film,"nm0749431, nm0538729, nm0144302, nm0754636"
Fécondité,tt0019915,1929,France,"nm0263810, nm0959921",July,1929,France,,"L'Écran d'Art, La Centrale Cinématographique","nm0300388, nm0439188, nm0699522, nm0480742, nm0021357, nm0202679, nm0894333, nm0221008, nm0623211, nm0586184, nm0955963, nm0959922, nm0712416"
A sud niente di nuovo,tt0050088,1957,Italy,nm0800547,,,,,Nova,"nm0485219, nm0850236, nm0200861, nm0290546, nm0082419, nm0728960, nm0078116, nm0556401, nm0139213, nm0659461, nm0210582, nm0133174, nm0876947, nm0212121, nm0896060, nm0210150, nm0333867, nm0030380, nm0514116, nm0125626, nm0898964, nm0298889, nm0098743, nm0191265, nm0311653, nm0266946, nm0677669"
La primadonna,tt0035212,1943,Italy,nm0673773,November,1943,Italy,,Artisti Tecnici Associati (ATA),"nm0880210, nm0580140, nm0098154, nm0078055, nm0334516, nm0868916, nm0131042, nm1866186, nm0109266, nm0130019, nm0195258, nm0223997, nm0230986, nm1571990, nm0493982, nm1845494, nm0518352, nm0867333, nm0897002"
La maestrina,tt0183462,1913,Italy,nm0624511,July,1913,France,Rome,Celio Film,"nm0078116, nm0172822, nm0208352, nm0315780"
Enrico Caruso - Leggenda di una voce,tt0043505,1951,Italy,nm0313124,October,1951,Italy,,Asso Film,"nm0709790, nm0518178, nm0768684, nm0819477, nm0224127, nm0894478, nm0850950, nm0681441, nm0076464, nm0743102, nm1178764, nm0759031, nm0762718, nm0848445, nm0274110, nm0819010, nm1179824, nm1575226, nm1569370, nm0162554, nm3556889, nm0208264, nm0646742, nm0800563"
Il romanzo di un giovane povero,tt0200057,1920,Italy,nm0657535,October,1920,Italy,Rome,Rinascimento Film,"nm0785802, nm0579618, nm0211424, nm0304211, nm0682204, nm2448388"
Bellissime,tt1478504,2004,Italy,nm0300898,August,2004,Italy,,Istituto Luce,"nm0066745, nm0078116, nm0146796, nm0243913, nm0244598, nm0536167, nm0885339, nm0900143"
Una tragedia al cinematografo,tt0963348,1913,Italy,nm0345500,June,1913,Italy,Rome,Società Italiana Cines,"nm0144663, nm0526921, nm0579618"
Lorenzaccio,tt0043755,1951,Italy,nm0655411,,,,,Rovere,"nm0016617, nm0525793, nm0274671, nm0555807, nm0209637, nm0289450, nm0320278, nm0195258, nm0162768, nm0046785, nm0049836, nm0313065, nm0275146, nm0658851, nm0082415, nm0665109, nm0109266, nm0658872, nm3922158"
La tormenta,tt0457171,1922,Italy,nm0303120,August,1922,Italy,Rome,Caesar Film,"nm0234437, nm0303122, nm0345223, nm0537818, nm1899192, nm0682595, nm0850499, nm0887830"
I cavalieri moderni,tt1041703,1915,Italy,nm0407846,July,1915,Italy,Rome,Celio Film,"nm0302942, nm0350524, nm0414294"
La serpe,tt1065500,1920,Italy,nm0730743,January,1920,Italy,Rome,Caesar Film,"nm0078116, nm0080672, nm0162244, nm1292135, nm1293560, nm1287900, nm0759474"
Il fuoco (la favilla - la vampa - la cenere),tt0173869,1916,Italy,nm0665163,April,1916,Spain,Turin,Itala Film,"nm0579618, nm0546917"
La Busta nera,tt1041699,1914,Italy,nm0321392,May,1914,Italy,Turin,Pasquali e C.,"nm0139215, nm0414294, nm2462013, nm0784988"
Le tre illusioni,tt0963350,1921,Italy,nm0673035,May,1921,Italy,Rome,Rinascimento Film,"nm1216023, nm1883759, nm0579618, nm1880063"
Il tesoro dei Louzat,tt0943353,1914,Italy,,,1914,Italy,Turin,Itala Film,"nm0702894, nm0544490, nm0021935"
Maciste all'inferno,tt0017096,1925,Italy,nm0109264,March,1926,Italy,Turin,"Fert Studios, Societa Anonima Stefano Pittaluga, Itala Film","nm0656034, nm0345436, nm1249035, nm0757369, nm0762718, nm0953131, nm0688787, nm0785378, nm0024847, nm0583947, nm0591622"
Giovanna d'Arco,tt0177807,1913,Italy,nm0215516,November,1913,Italy,Turin,Savoia Film,"nm0414294, nm0626131, nm1896575, nm1899346, nm1896373"
Centocelle,tt0955233,1919,Italy,nm0211634,April,1919,Italy,Turin,Gladiator Film,"nm0135493, nm0277372, nm0335908, nm0538729, nm0595772, nm0872195"
Fracassa e l'altro,tt0929424,1919,Italy,nm0856426,,1919,Italy,Turin,Mari Film,"nm0035996, nm1522679, nm0292041, nm1148942, nm0762718, nm0856422"
Cajus Julius Caesar,tt0004022,1914,Italy,nm0345500,November,1914,Italy,Rome,Società Italiana Cines,"nm0637019, nm0144663, nm1550622, nm0526921, nm0557831, nm1553082, nm0855870, nm0649959, nm1523273, nm0579618, nm0723236"
Un cuore nel mondo,tt0456361,1920,Italy,nm0657535,May,1920,Italy,Naples,Lombardo Film,"nm0350524, nm0195221, nm0526921, nm1253992, nm0215956"
La femme d'une nuit,tt0207466,1930,France,nm0478303,June,1930,France,,Les Établissements Braunberger-Richebé,"nm0078116, nm0613576, nm0208314, nm0257262, nm0874575, nm0037625, nm1294840, nm0433332, nm1293383, nm0621487, nm0314967, nm0764916, nm0479742"
Il segreto del dottore,tt0211615,1931,USA,nm0759386,February,1931,Italy,,Paramount Pictures,"nm0303122, nm0681441, nm0730611, nm0082101, nm1875305, nm0889246, nm0629270"
Maternità,tt0193316,1917,Italy,nm0211634,October,1917,Italy,Turin,Gladiator Film,"nm0021934, nm0021935, nm0161733, nm0406390, nm0872195"
La Gerusalemme liberata,tt0193190,1918,Italy,nm0345500,April,1918,Italy,Rome,Guazzoni Film,"nm0070962, nm2923430, nm1291706, nm0201030, nm0208566, nm0304989, nm0312484, nm0314314, nm2923373, nm0599384, nm0637019, nm0727397, nm0762718, nm0822654"
La contessa Sara,tt0166547,1919,Italy,nm0730743,September,1919,Italy,Rome,Caesar Film,"nm0078116, nm0759474, nm0016688, nm0080672, nm1292135, nm1287181, nm1293560, nm0684960"
Il volto del passato,tt1063667,1918,Italy,nm0624511,,1918,Italy,Rome,Tiber-film,"nm0138479, nm0144302, nm0381428, nm0553335, nm0630171, nm0757369"
La donna e i bruti,tt0456381,1920,Italy,nm1156070,December,1920,Italy,Naples,Lombardo Film,"nm0350524, nm0626131, nm0718580, nm1914380, nm1911067"
Scuola d'eroi,tt0203091,1914,Italy,nm0345500,February,1914,Italy,Rome,Società Italiana Cines,"nm0637019, nm0855870, nm0146335, nm0579618, nm0538080, nm1521286, nm0137706, nm0537818"
Caino,tt0310840,1918,Italy,nm0138251,January,1918,Italy,Turin,Corona,"nm0162322, nm0538729, nm0538080, nm0244600, nm0210541, nm1271993, nm1272509, nm0850499"
"Oltre la vita, oltre la morte",tt0407081,1916,Italy,nm0664700,July,1916,Italy,Turin,Pasquali e C.,"nm0135421, nm0439188"
Il bacio della zingara,tt0454079,1913,Italy,,October,1913,Italy,Turin,Itala Film,"nm0021935, nm0544490, nm1269629"
Tu m'appartiens!,tt0020522,1929,France,nm0322481,November,1929,France,,"C.I.C., Société Cinématographique des Romanciers Français","nm0077785, nm0894722, nm0898489, nm0018885, nm0078116, nm0459030, nm0099101, nm0137107, nm0622036, nm0738112"
Die vier letzten Sekunden des Quidam Uhl,tt0488667,1924,Germany,nm1720536,,1924,Germany,,Monumental-Film-Werke Berlin,"nm0212234, nm0266234, nm1960420, nm0538729, nm0617050"
La peccatrice casta,tt0193391,1919,Italy,"nm0439188, nm0726729",January,1919,Italy,Rome,Tiber-film,"nm0439188, nm0663286, nm0664698"
La collana della felicità,tt0965595,1916,Italy,nm0133153,January,1916,Italy,Turin,Società Anonima Ambrosio,"nm0133153, nm0138479, nm0538729"
The Actress' Redemption,tt1290484,1914,Italy,,June,1914,USA,Turin,Savoia Film,"nm0414294, nm0518359"
La disfatta dell'Erinni,tt0336292,1920,Italy,nm0673035,July,1920,Italy,Rome,Rinascimento Film,"nm0208538, nm0579618, nm0675874, nm1294250, nm0785802"
L'amore sognato,tt1047579,1915,Italy,nm0303120,February,1915,Italy,Rome,Società Italiana Cines,"nm1216023, nm1271564, nm0303122"
La parola che uccide,tt0192439,1914,Italy,nm0312866,March,1914,Italy,Rome,Società Italiana Cines,"nm0070959, nm0070962, nm0137706, nm0526921, nm0579618, nm1301690, nm0785802"
I pericoli dei travestimenti,tt0943471,1914,Italy,nm0889527,April,1914,Italy,Turin,Itala Film,"nm0021935, nm2523491, nm0591622, nm0673035, nm0702894, nm0889527, nm2488140"
Tragica missione,tt1081015,1915,Italy,nm0333309,June,1915,Italy,Milan,Milano Film,"nm0109266, nm0333309, nm0658055"
Disperato abbandono,tt0965475,1913,Italy,,,1913,Italy,Turin,Itala Film,"nm0021935, nm0544490, nm0076131, nm0142822"
L'ombra,tt0190596,1920,Italy,nm0730743,July,1920,Italy,Rome,Caesar Film,"nm0078116, nm0080697, nm0143332, nm1292202, nm0637019, nm0741163, nm0785378"
Casa di bambola,tt0929413,1919,Italy,nm0546917,September,1919,Italy,Turin,Mari Film,"nm0546917, nm0603279, nm1148942, nm1253447, nm1204409, nm0762718"
Vivere!,tt0029736,1936,Italy,nm0109264,December,1936,Italy,,"Appia Cinematografica, Società Anonima Films Attualità (SAFA)","nm0771908, nm0095950, nm0078728, nm0585936, nm0095979, nm0055364, nm0109266, nm0682595, nm0267249, nm0313123, nm0110299, nm1548750, nm0546491, nm0957535, nm0699736, nm0813059, nm0188133, nm0195830, nm0539011, nm0102679, nm0243913, nm0667611, nm0678689, nm0012407, nm0721557, nm0162490"
La donna della montagna,tt0035821,1944,Italy,nm0144677,October,1944,Italy,,Lux Film,"nm0078055, nm0623443, nm0195208, nm0705039, nm0545643, nm0414294, nm0991915, nm0028944, nm0321407, nm1402922, nm0665109"
"Ivonne, la bella danzatrice",tt0455131,1915,Italy,nm0784988,September,1915,Spain,Rome,Caesar Film,"nm0016688, nm0070959, nm0078116, nm0784988"
Tra i gorghi,tt1047695,1914,Italy,nm0303120,July,1914,Italy,Rome,Società Italiana Cines,"nm0224058, nm0303122"
Ultimo sogno,tt0214231,1924,Italy,nm0730743,June,1924,Portugal,,,"nm0078116, nm1267810, nm1293560, nm0663286, nm1252987, nm1146178"
La vie d'une femme,tt1047702,1920,Italy,nm0303120,,1920,Italy,Rome,Cosmopoli Film,nm0303122
Andere Frauen,tt0131314,1928,Austria,nm0361521,November,1928,Austria,,Otto Spitzer Film,"nm0209740, nm0317209, nm0452209, nm0340872, nm0073472, nm0672640, nm0547998"
La lotta per la vita,tt1067721,1921,Italy,nm0109264,,1921,Italy,Turin,Rodolfifilm,"nm1027834, nm0109266, nm0162321, nm0162322, nm2719773, nm0899597"
La gola,tt0178513,1918,Italy,nm0211158,June,1918,Italy,Rome,Caesar Film,"nm0078116, nm0667546, nm0211158, nm0016688"
Lucrezia Borgia,tt0383483,1912,Italy,nm0516263,May,1912,Italy,Rome,"Film d'Arte Italiana, Pathé Frères",nm0078116
La Gemma di Sant'Eremo,tt0347051,1918,Italy,nm0730611,January,1918,Italy,Turin,Itala Film,"nm0579618, nm0626131, nm0603386, nm0202688"
La via del peccato,tt0216347,1925,Italy,nm0657535,February,1925,Italy,Rome,Amleto Palermi Film,"nm0094801, nm0209740, nm0303122, nm0315780, nm0414293, nm0448656, nm2440122, nm0749431, nm0759762, nm0784988, nm0785802, nm0850499, nm0874482"
La cugina,tt0965471,1920,Italy,nm0952610,November,1920,Italy,Turin,Itala Film,"nm0021935, nm0626131, nm2562364, nm0544490, nm0591622"
Primerose,tt0481896,1919,Italy,nm0143333,January,1919,Italy,Rome,Società Italiana Cines,"nm1298541, nm0161750, nm2483676, nm0664703, nm1294238, nm0682204, nm0684960, nm0762718, nm0857271"
La falena,tt0171307,1916,Italy,nm0303120,March,1916,Italy,Rome,Società Italiana Cines,"nm0096330, nm0352120, nm1216023, nm0144313, nm0598712, nm0206315, nm0144302"
Saitra la ribelle,tt1045200,1924,Italy,nm0657535,September,1924,Italy,Naples,Lombardo Film,"nm1909921, nm0350524, nm0650750, nm0667546, nm2677793"
Mariute,tt0184717,1918,Italy,nm0070374,May,1918,Italy,Rome,"Bertini Film, Caesar Film","nm0016688, nm0078116, nm0211158, nm0667546, nm0784988"
Manon Lescaut,tt0184700,1911,Italy,,,1911,Italy,,,nm0078116
Femmina - Femina,tt0172441,1918,Italy,nm0312866,December,1918,Italy,Turin,Itala Film,"nm0021935, nm0448656, nm0144302, nm0082101"
Fugge la gloria,tt0965625,1920,Italy,nm0743102,March,1920,Italy,Turin,Gladiator Film,"nm0208566, nm0264693, nm0538729, nm0743102"
La vena d'oro,tt0215318,1928,Italy,nm0957995,December,1928,Italy,Rome,Autori Direttori Italiani Associati,"nm0051737, nm0070959, nm0162321, nm0227573, nm0439188, nm0539011, nm0769330, nm0825923"
Dante nella vita e nei tempi suoi,tt0167870,1922,Italy,nm0301154,April,1922,Italy,,,"nm1149885, nm0637019, nm0439188, nm1148298, nm0056080, nm0292041"
La bella corsara,tt0312448,1928,Italy,nm0209741,August,1928,Italy,Florence,I.C.S.A.,"nm0209740, nm0144663, nm1301196"
Ironie della vita,tt0193243,1917,Italy,nm0739971,August,1917,Italy,Turin,Gladiator Film,"nm0021935, nm0743102, nm0264693, nm0155079"
La bocca chiusa,tt0462205,1925,Italy,nm0957995,August,1926,Portugal,Naples,"Polifilms (Società Anonima Industria Cinematografica, SAIC)","nm0414294, nm0448656, nm0070959, nm0094529, nm0688230, nm1300903, nm1146178"
I due sergenti,tt0169823,1922,Italy,nm0109264,December,1922,Italy,Turin,Rodolfifilm,"nm1027834, nm0109263, nm0109266, nm1256644, nm0162321, nm1887648, nm0187642, nm1148789, nm1148942, nm0682544, nm0693529, nm1324086, nm1253342"
Profanazione,tt1045186,1924,Italy,nm0673035,December,1924,Italy,Naples,Lombardo Film,"nm0135421, nm0350524, nm0650750, nm1294774"
Le sens de la mort,tt0013588,1922,France,nm0698839,,,,,Société des Etablissements L. Gaumont,"nm0637496, nm0163229, nm0946238, nm0439188, nm0061682, nm1253312, nm0126885, nm0430345, nm0834496, nm0590557"
La regina del carbone,tt0198972,1919,Italy,nm0726729,April,1919,Italy,Rome,Tiber-film,"nm0144302, nm0352120, nm0414294, nm0744105"
Luisa Sanfelice,tt0035000,1942,Italy,nm0578736,September,1942,Italy,,Alleanza Cinematografica Italiana (A.C.I.),"nm0812726, nm0784857, nm0884134, nm0632426, nm0785919, nm0138602, nm0232371, nm0585936, nm1410858, nm0674573, nm0685066, nm0267249, nm0538080, nm0079246, nm0209740, nm0335961, nm0647206, nm0667611, nm0134993, nm0187642, nm1505360, nm1714649, nm0383819, nm0651334, nm0890122, nm1578009, nm1406008, nm1715431, nm1416118, nm1714657, nm4702344, nm1714986, nm0759372"
Amore e automobilismo,tt1155513,1913,Italy,,January,1913,Spain,Rome,Società Italiana Cines,"nm0172822, nm0350524"
L'avarizia,tt0185896,1918,Italy,nm0784988,December,1918,Italy,,,"nm0078116, nm0784988, nm0312909, nm1014493, nm0016688"
La principessa,tt0196015,1919,Italy,,,,,,,nm0078116
La danza dei milioni,tt1063605,1914,Italy,nm0624511,March,1914,Italy,Milan,Milano Film,"nm0381428, nm0667546, nm2711511"
Il bel gesto,tt1047586,1914,Italy,nm0303120,June,1914,Italy,Rome,Società Italiana Cines,"nm0056080, nm0303122, nm1550622, nm1295384"
Flor de otoño,tt0006690,1916,"Italy, Spain",nm0143333,September,1916,Italy,Turin,Excelsa Films,"nm0143332, nm0350524, nm0530088, nm0743102, nm0743104"
Martirio,tt0270498,1920,Italy,nm0603386,,,,,,"nm0021935, nm0202688, nm0603386"
Quando la primavera ritorno,tt1041832,1916,Italy,nm0407846,May,1916,Italy,Rome,Società Italiana Cines,"nm0144302, nm0161750, nm0302942, nm0414294"
Lagrime e sorrisi,tt0181642,1912,Italy,nm0624511,December,1912,Spain,Rome,Celio Film,"nm0078116, nm0172822, nm0208352, nm0302942, nm0315780"
Voluttà di morte,tt0965542,1917,Italy,nm0211634,April,1917,Italy,Turin,Gladiator Film,"nm0021935, nm0124744, nm0142821, nm0679170, nm0867930"
Rinunzia,tt0963330,1914,Italy,nm0303120,,1914,Italy,Rome,Società Italiana Cines,"nm0096330, nm0303122, nm0304211, nm0579618, nm0681441, nm0684960"
La principessa Giorgio,tt0196012,1920,Italy,nm0730743,April,1920,Italy,Rome,"Bertini Film, Caesar Film","nm0016688, nm0078116, nm0162244, nm1291706, nm0211424, nm1293562, nm0667546, nm1294250, nm0771160"
L'invidia,tt0179883,1919,Italy,nm0070374,January,1919,Italy,Rome,"Bertini Film, Caesar Film","nm0078116, nm0667546, nm0872195, nm1291774, nm0162244, nm0211158, nm0723161"
L'avventura di Fracassa,tt0927103,1919,Italy,nm0856426,September,1919,Italy,Turin,Mari Film,"nm0035996, nm0100445, nm0136825, nm1522679, nm0762718, nm0856422"
Senza colpa!,tt0203108,1915,Italy,nm0303120,January,1915,Italy,Rome,Società Italiana Cines,"nm1216023, nm1271564, nm0303122, nm0557831, nm1302030"
Angelina o el honor de un brigadier,tt0129753,1935,USA,"nm0003422, nm0959178",June,1936,Portugal,,Fox Film Corporation,"nm0246458, nm0187510, nm0220534, nm0671559, nm0209740, nm0867944, nm0782225, nm0864203, nm0324912, nm0603953, nm0307986, nm0679189, nm0130969, nm0596903, nm0896276, nm0798228, nm0753843, nm0959580"
Anime nemiche,tt0938525,1917,Italy,,January,1917,Italy,Turin,Alba Film,"nm0414294, nm2509519"
La lussuria,tt0183445,1919,Italy,nm0070374,June,1919,Italy,Rome,"Bertini Film, Caesar Film","nm0078116, nm0667546, nm0016688, nm0080672, nm1014493, nm0872195, nm1295234"
La veggente,tt0904017,1920,Italy,nm0439188,August,1920,Italy,Rome,"Diana Karenne, Tespi Film","nm0131042, nm0439188"
Fu la sorte!...,tt1045096,1914,Italy,,December,1914,Italy,Rome,Società Italiana Cines,"nm0137706, nm0350524, nm0637019"
La perla del cinema,tt0193415,1916,Italy,nm0209738,January,1916,Italy,Rome,Caesar Film,"nm0070959, nm0078116, nm0207107, nm0209738, nm0211158, nm0784988"
La maschera del male,tt0347509,1922,Italy,nm0021933,May,1922,Italy,"Rome, Turin",Fert Film,"nm0021935, nm0082101, nm0172822, nm0448656, nm0487727, nm1252987, nm0757369"
Il cadavere vivente,tt1041700,1913,Italy,"nm2486447, nm0654581",,1913,Italy,Turin,Savoia Film,"nm0518359, nm0414294, nm2656839, nm1896373, nm0626131, nm2674031, nm1899346, nm2673189, nm1530196, nm0739971"
Il romanzo di Milly,tt0927144,1923,Italy,nm0142822,December,1923,Italy,Turin,Circe Film,"nm0100445, nm1522679, nm0762718"
L'ultima battaglia,tt1063661,1914,Italy,nm0624511,July,1914,Italy,Milan,Milano Film,"nm0381428, nm0667546, nm0333309"
La principessa straniera,tt0196014,1914,Italy,nm1004886,May,1914,Italy,Rome,Celio Film,"nm0078116, nm0352120, nm0850499"
Amore senza veli,tt1047578,1914,Italy,nm0303120,June,1914,Italy,Rome,Società Italiana Cines,"nm0137706, nm0303122, nm1295384"
Il piccolo cerinaio,tt0194241,1914,Italy,nm0312866,May,1914,Italy,Rome,Celio Film,"nm0350524, nm0746296"
La fiamma e la cenere,tt1065427,1919,Italy,nm0030748,November,1919,Italy,Rome,Tiber-film,"nm0144302, nm0439188, nm0448656, nm0663286"
Spiritismo,tt0194398,1919,Italy,nm0211158,February,1919,Italy,Rome,"Bertini Film, Caesar Film","nm0078116, nm0637019, nm0684960, nm0131042, nm0211158, nm0408664"
Romanticismo,tt0200054,1915,Italy,"nm0133153, nm0296703",September,1915,Italy,Turin,Società Anonima Ambrosio,"nm0124744, nm0138479, nm0231876, nm0538729, nm1516021, nm0785378, nm0850499"
La falsa strada,tt0965482,1913,Italy,nm1193022,March,1913,Italy,Turin,Savoia Film,"nm0414294, nm0518359, nm1291873, nm0537818, nm0743102"
Forza ed astuzia,tt1027052,1912,Italy,,December,1912,Italy,Rome,Società Italiana Cines,"nm0381428, nm0526921"
I 28 giorni di Claretta,tt1044989,1927,Italy,nm0673035,,1927,Italy,Turin,Societa Anonima Stefano Pittaluga,"nm0350524, nm0650750"
Divorziamo,tt1031572,1919,Italy,,,,,,,nm0381428
La legge,tt0182271,1919,Italy,,,,,,Bertini Film,nm0078116
L'arzigogolo,tt0338742,1924,Italy,nm0021933,January,1924,Italy,Turin,Alba Film,"nm0021935, nm0079246, nm0082101, nm0172822, nm0591622, nm0682544"
Tramonto,tt0211054,1913,Italy,nm0624511,November,1913,France,Rome,Celio Film,"nm0070959, nm0078116, nm1291238, nm0172822, nm0208352, nm1268180, nm0302942, nm0315780, nm1295384"
La signora delle camelie,tt0006041,1915,Italy,nm0624511,January,1916,France,Rome,Tiber-film,"nm0381428, nm0172822, nm0137706, nm0144302, nm0144313, nm2594564"
Fede,tt1047616,1914,Italy,nm0303120,December,1914,Italy,Rome,Società Italiana Cines,"nm0056080, nm1216023, nm0303122"
La canzone di Werner,tt0159338,1914,Italy,nm1004886,April,1914,Italy,Rome,Celio Film,"nm0078116, nm1004340, nm0350524, nm0302942, nm1004245, nm0172822"
Una notte a Calcutta,tt0169801,1918,Italy,nm0143333,February,1918,Italy,Rome,Società Italiana Cines,"nm0096330, nm0135421, nm0626131, nm0667546, nm1301996"
Il rifugio,tt1045195,1918,Italy,nm0030748,September,1918,Italy,Naples,Lombardo Film,"nm0063129, nm0350524, nm2677372, nm1272920"
Caterina da Siena,tt0039254,1947,Italy,nm0657509,,,,,Cigna,"nm0209739, nm0209740, nm1015231, nm0612845, nm0033982, nm1015278, nm1014868, nm0650977, nm0553360, nm1015544, nm0308518, nm1015348, nm1016475, nm0780002, nm1014690, nm1015509, nm0867923, nm0094687, nm1015775"
Der Bastard,tt0341062,1925,"Germany, Italy",nm0726729,December,1925,Germany,Rome,Phoebus-Film AG,"nm0082101, nm0414294, nm0435229, nm0452209, nm0512724, nm0549476, nm0635615, nm0666749, nm0667419, nm0670271"
Bimbi lontani,tt1063597,1919,Italy,nm0624511,August,1919,Italy,Rome,Film d'Arte Italiana,"nm0138479, nm2709115, nm0266947, nm1722531, nm0381428"
I figli di nessuno,tt0173830,1921,Italy,nm0215516,January,1921,Italy,Naples,Lombardo Film,"nm0350524, nm0215518, nm0746296, nm0626131, nm0487727, nm0526921, nm1917503, nm1424237, nm1253992, nm1426313"
Il documento,tt0030064,1939,Italy,nm0131460,November,1939,Italy,,Società Esercizi Cinema e Teatro (SECET),"nm0749431, nm0266031, nm0219166, nm0195208, nm0608314, nm0103854, nm0021929, nm0109266, nm0302958, nm0303416, nm0304860, nm0311165, nm0682595"
Arme Sünderin,tt0129759,1923,Germany,nm0307392,,,,,Transozean Film GmbH,"nm0002154, nm0439188, nm0466776, nm1816386"
Vampe di gelosia,tt1041875,1913,Italy,nm1193022,,1913,Italy,Turin,Savoia Film,"nm2557773, nm0414294, nm0518359, nm0537818"
La chiamavano 'Cosetta',tt0193278,1917,Italy,nm0673035,June,1917,Italy,Rome,Film d'Arte Italiana,"nm0303122, nm0321346, nm0637019, nm0658551, nm0899348"
Quando si ama,tt1045188,1917,Italy,nm0209738,February,1917,Italy,Rome,Cosmopoli Film,"nm0350524, nm0682530, nm1272920"
La leoparda ferita,tt1045153,1923,Italy,nm0215516,February,1923,Italy,Naples,Lombardo Film,"nm0024155, nm1916356, nm0215516, nm0350524, nm0718580"
The Bachelor Father,tt0021633,1931,USA,nm0502752,January,1931,USA,,"Cosmopolitan Productions, Metro-Goldwyn-Mayer (MGM)","nm0203836, nm0285391, nm0807580, nm0001537, nm0930711, nm0868456, nm0515967, nm0636199, nm0702947, nm0387561, nm0614936, nm0330280, nm0020568, nm0209740"
